DT_REFER;CD_CVM;GRUPO_DFP;ORDEM_EXERC;DT_FIM_EXERC;CD_CONTA;DS_CONTA;VL_CONTA
2012-03-31;20257;DF Consolidado - Balanço Patrimonial Ativo;PENÚLTIMO;2011-12-31;1.02.03.01;Imobilizado em Operação;13940000.0
2012-03-31;20257;DF Consolidado - Balanço Patrimonial Ativo;ÚLTIMO;2012-03-31;1.02.03.01;Imobilizado em Operação;14292000.0
2012-03-31;20257;DF Consolidado - Balanço Patrimonial Ativo;PENÚLTIMO;2011-12-31;1.02.03.02;Imobilizado Arrendado;0.0
2012-03-31;20257;DF Consolidado - Balanço Patrimonial Ativo;ÚLTIMO;2012-03-31;1.02.03.02;Imobilizado Arrendado;0.0
2012-06-30;20257;DF Consolidado - Balanço Patrimonial Ativo;PENÚLTIMO;2011-12-31;1.01;Ativo Circulante;1556749000.0
2012-06-30;20257;DF Consolidado - Balanço Patrimonial Ativo;ÚLTIMO;2012-06-30;1.01;Ativo Circulante;2578940000.0
2012-06-30;20257;DF Consolidado - Balanço Patrimonial Ativo;PENÚLTIMO;2011-12-31;1.01.01;Caixa e Equivalentes de Caixa;495406000.0
2012-06-30;20257;DF Consolidado - Balanço Patrimonial Ativo;ÚLTIMO;2012-06-30;1.01.01;Caixa e Equivalentes de Caixa;1529686000.0
2012-06-30;20257;DF Consolidado - Balanço Patrimonial Ativo;PENÚLTIMO;2011-12-31;1.01.03;Contas a Receber;999944000.0
2012-06-30;20257;DF Consolidado - Balanço Patrimonial Ativo;ÚLTIMO;2012-06-30;1.01.03;Contas a Receber;1011221000.0
2012-06-30;20257;DF Consolidado - Balanço Patrimonial Ativo;PENÚLTIMO;2011-12-31;1.01.04;Estoques;0.0
2012-06-30;20257;DF Consolidado - Balanço Patrimonial Ativo;ÚLTIMO;2012-06-30;1.01.04;Estoques;0.0
2012-06-30;20257;DF Consolidado - Balanço Patrimonial Ativo;PENÚLTIMO;2011-12-31;1.02.03.01;Imobilizado em Operação;13940000.0
2012-06-30;20257;DF Consolidado - Balanço Patrimonial Ativo;ÚLTIMO;2012-06-30;1.02.03.01;Imobilizado em Operação;14825000.0
2012-06-30;20257;DF Consolidado - Balanço Patrimonial Ativo;PENÚLTIMO;2011-12-31;1.02.03.02;Imobilizado Arrendado;0.0
2012-06-30;20257;DF Consolidado - Balanço Patrimonial Ativo;ÚLTIMO;2012-06-30;1.02.03.02;Imobilizado Arrendado;0.0
2012-09-30;20257;DF Consolidado - Balanço Patrimonial Ativo;PENÚLTIMO;2011-12-31;1.01;Ativo Circulante;1556749000.0
2012-09-30;20257;DF Consolidado - Balanço Patrimonial Ativo;ÚLTIMO;2012-09-30;1.01;Ativo Circulante;4023306000.0
2012-09-30;20257;DF Consolidado - Balanço Patrimonial Ativo;PENÚLTIMO;2011-12-31;1.01.01;Caixa e Equivalentes de Caixa;495406000.0
