DT_REFER;CD_CVM;CD_CONTA;DT_FIM_EXERC_PENULTIMO_BP;DT_FIM_EXERC_PENULTIMO;VL_CONTA_PENULTIMO;VL_CONTA
2011-06-30;20257;1.01.04;2010-12-31;;786000.0;786000.0
2011-06-30;20257;1.02.01;2010-12-31;;3477534000.0;3294360000.0
2011-06-30;20257;1.02.02;2010-12-31;;0.0;0.0
2011-06-30;20257;1.02.03;2010-12-31;;12741000.0;12622000.0
2011-06-30;20257;1.02.04;2010-12-31;;4159000.0;4022000.0
2011-06-30;20257;2.01;2010-12-31;;308216000.0;457749000.0
2011-06-30;20257;2.01.02;2010-12-31;;11578000.0;5017000.0
2011-06-30;20257;2.01.03;2010-12-31;;16189000.0;4680000.0
2011-06-30;20257;2.01.04;2010-12-31;;54017000.0;88673000.0
2011-06-30;20257;2.01.05;2010-12-31;;226432000.0;359379000.0
2011-06-30;20257;2.01.06;2010-12-31;;0.0;0.0
2011-06-30;20257;2.01.07;2010-12-31;;0.0;0.0
2011-06-30;20257;2.02.01;2010-12-31;;1487279000.0;1488052000.0
2011-06-30;20257;2.02.02;2010-12-31;;7509000.0;9601000.0
2011-06-30;20257;2.02.03;2010-12-31;;264013000.0;253729000.0
2011-06-30;20257;2.02.04;2010-12-31;;459000.0;459000.0
2011-06-30;20257;2.03.01;2010-12-31;;1312536000.0;1312536000.0
2011-06-30;20257;2.03.02;2010-12-31;;594507000.0;594507000.0
2011-06-30;20257;2.03.04;2010-12-31;;601311000.0;64297000.0
2011-06-30;20257;3.01;;2010-06-30;164974000.0;162365000.0
2011-06-30;20257;3.02;;2010-06-30;-14058000.0;-12760000.0
2011-06-30;20257;3.03;;2010-06-30;150916000.0;149605000.0
2011-06-30;20257;3.04;;2010-06-30;-10830000.0;-8158000.0
2011-06-30;20257;3.05;;2010-06-30;140086000.0;141447000.0
2011-06-30;20257;3.06;;2010-06-30;-31684000.0;-38917000.0
