DT_REFER;CD_CVM;CD_CONTA;VL_CONTA_PENULTIMO;VL_CONTA
2012-03-31;2453;3.01;3605609000.0;4148395000.0
2012-03-31;2453;3.02;-2200940000.0;-2525830000.0
2012-03-31;2453;3.03;1404669000.0;1622565000.0
2012-03-31;2453;3.04;-345207000.0;-420034000.0
2012-03-31;2453;3.05;1059462000.0;1202531000.0
2012-03-31;2453;3.06;-282819000.0;-262080000.0
2012-03-31;2453;3.07;776643000.0;940451000.0
2012-03-31;2453;3.08;-250492000.0;-309063000.0
2012-03-31;2453;3.09;526151000.0;631388000.0
2012-03-31;2453;3.11;526151000.0;631388000.0
2012-03-31;2453;5.01;11476133000.0;11744948000.0
2012-03-31;2453;5.03;11476133000.0;11744948000.0
2012-03-31;2453;5.07;12003107000.0;12374223000.0
2012-03-31;2453;6.01;753713000.0;938081000.0
2012-03-31;2453;6.02;-975915000.0;-1183061000.0
2012-03-31;2453;6.03;-24249000.0;-382766000.0
2012-03-31;2453;6.05;-246451000.0;-627746000.0
2012-03-31;2453;7.01;5225979000.0;6023992000.0
2012-03-31;2453;7.02;-1874121000.0;-2136058000.0
2012-03-31;2453;7.03;3351858000.0;3887934000.0
2012-03-31;2453;7.04.01;-232797000.0;-237551000.0
2012-03-31;2453;7.05;3119061000.0;3650383000.0
2012-03-31;2453;7.06;180534000.0;225330000.0
2012-03-31;2453;7.07;3299595000.0;3875713000.0
2012-03-31;2453;7.08;3299595000.0;3875713000.0
2012-03-31;20257;1.01;1556749000.0;1754579000.0
2012-03-31;20257;1.01.01;495406000.0;691090000.0
2012-03-31;20257;1.01.02;0.0;0.0
2012-03-31;20257;1.01.03;996845000.0;1004641000.0
2012-03-31;20257;1.01.04;3099000.0;3099000.0
2012-03-31;20257;1.02.01;4907087000.0;4832303000.0
2012-03-31;20257;1.02.02;0.0;0.0
2012-03-31;20257;1.02.03;13940000.0;14292000.0
2012-03-31;20257;1.02.04;6447000.0;6369000.0
2012-03-31;20257;2.01;1647891000.0;1703948000.0
2012-03-31;20257;2.01.02;33009000.0;14772000.0
2012-03-31;20257;2.01.03;13961000.0;19873000.0
2012-03-31;20257;2.01.04;1307947000.0;1378329000.0
2012-03-31;20257;2.01.05;292974000.0;290974000.0
2012-03-31;20257;2.02.01;2015405000.0;1989889000.0
2012-03-31;20257;2.02.02;33553000.0;38083000.0
2012-03-31;20257;2.02.03;533953000.0;526400000.0
2012-03-31;20257;2.02.04;949000.0;929000.0
2012-03-31;20257;2.03.01;1312536000.0;1312536000.0
2012-03-31;20257;2.03.02;594507000.0;594507000.0
2012-03-31;20257;2.03.04;345429000.0;345429000.0
2012-03-31;20257;3.01;157946000.0;234377000.0
2012-03-31;20257;3.02;-12129000.0;-19627000.0
2012-03-31;20257;3.03;145817000.0;214750000.0
2012-03-31;20257;3.04;-7046000.0;-14463000.0
2012-03-31;20257;3.05;138771000.0;200287000.0
2012-03-31;20257;3.06;-35769000.0;-64751000.0
2012-03-31;20257;3.07;103002000.0;135536000.0
2012-03-31;20257;3.08;-30168000.0;-39714000.0
2012-03-31;20257;3.09;72834000.0;95822000.0
2012-03-31;20257;3.11;72834000.0;95822000.0
2012-03-31;20257;5.01;2508354000.0;2252472000.0
2012-03-31;20257;5.03;2508354000.0;2252472000.0
2012-03-31;20257;5.07;2581188000.0;2348294000.0
2012-03-31;20257;6.01;173211000.0;226708000.0
2012-03-31;20257;6.02;60962000.0;-2835000.0
2012-03-31;20257;6.03;-8315000.0;-28189000.0
2012-03-31;20257;6.05;225858000.0;195684000.0
2012-03-31;20257;7.01;172055000.0;256031000.0
2012-03-31;20257;7.02;-8059000.0;-19417000.0
2012-03-31;20257;7.03;163996000.0;236614000.0
2012-03-31;20257;7.04.01;-373000.0;-406000.0
2012-03-31;20257;7.05;163623000.0;236208000.0
2012-03-31;20257;7.06;14614000.0;45240000.0
2012-03-31;20257;7.07;178237000.0;281448000.0
2012-03-31;20257;7.08;178237000.0;281448000.0
2012-06-30;2453;1.01;8531649000.0;8565893000.0
2012-06-30;2453;1.01.01;2862490000.0;2335270000.0
2012-06-30;2453;1.01.02;358987000.0;856396000.0
2012-06-30;2453;1.01.03;2998686000.0;3029496000.0
2012-06-30;2453;1.01.04;54430000.0;67253000.0
2012-06-30;2453;1.02.01;14726385000.0;15336804000.0
2012-06-30;2453;1.02.02;176740000.0;195180000.0
2012-06-30;2453;1.02.03;8661791000.0;8703735000.0
2012-06-30;2453;1.02.04;5261181000.0;4755311000.0
2012-06-30;2453;2.01;12169346000.0;13003998000.0
2012-06-30;2453;2.01.02;1189848000.0;1282021000.0
2012-06-30;2453;2.01.03;645937000.0;739763000.0
2012-06-30;2453;2.01.04;7821060000.0;9069865000.0
2012-06-30;2453;2.01.05;2215467000.0;1671737000.0
2012-06-30;2453;2.02.01;7958009000.0;6972648000.0
2012-06-30;2453;2.02.02;3701980000.0;3722349000.0
2012-06-30;2453;2.02.03;1234024000.0;406590000.0
2012-06-30;2453;2.02.04;549439000.0;553454000.0
2012-06-30;2453;2.03.01;3412073000.0;4265091000.0
2012-06-30;2453;2.03.02;3953850000.0;3953850000.0
2012-06-30;2453;2.03.04;3292871000.0;2353537000.0
2012-06-30;2453;3.01;3804769000.0;4413940000.0
2012-06-30;2453;3.02;-2518053000.0;-2857804000.0
2012-06-30;2453;3.03;1286716000.0;1556136000.0
2012-06-30;2453;3.04;-270278000.0;-368836000.0
2012-06-30;2453;3.05;1016438000.0;1187300000.0
2012-06-30;2453;3.06;-234232000.0;-302632000.0
2012-06-30;2453;3.07;782206000.0;884668000.0
2012-06-30;2453;3.08;-259149000.0;-280436000.0
2012-06-30;2453;3.09;523057000.0;604232000.0
2012-06-30;2453;3.11;523057000.0;604232000.0
2012-06-30;2453;5.01;11476133000.0;11744948000.0
2012-06-30;2453;5.03;11476133000.0;11744948000.0
2012-06-30;2453;5.07;12457047000.0;12897884000.0
2012-06-30;2453;6.01;1771361000.0;1745889000.0
2012-06-30;2453;6.02;-1480708000.0;-1718476000.0
2012-06-30;2453;6.03;-233238000.0;-554633000.0
2012-06-30;2453;6.05;57415000.0;-527220000.0
2012-06-30;2453;7.01;10677377000.0;12292593000.0
2012-06-30;2453;7.02;-4155500000.0;-4828996000.0
2012-06-30;2453;7.03;6521877000.0;7463597000.0
2012-06-30;2453;7.04.01;-476130000.0;-482715000.0
2012-06-30;2453;7.05;6045747000.0;6980882000.0
2012-06-30;2453;7.06;443236000.0;444421000.0
2012-06-30;2453;7.07;6488983000.0;7425303000.0
2012-06-30;2453;7.08;6488983000.0;7425303000.0
2012-06-30;20257;1.01;1556749000.0;2578940000.0
2012-06-30;20257;1.01.01;495406000.0;1529686000.0
2012-06-30;20257;1.01.02;0.0;0.0
2012-06-30;20257;1.01.03;999944000.0;1011221000.0
2012-06-30;20257;1.01.04;0.0;0.0
2012-06-30;20257;1.02.01;4615235000.0;4503117000.0
2012-06-30;20257;1.02.02;0.0;0.0
2012-06-30;20257;1.02.03;13940000.0;14825000.0
2012-06-30;20257;1.02.04;6447000.0;6270000.0
2012-06-30;20257;2.01;1647891000.0;2627695000.0
2012-06-30;20257;2.01.02;33009000.0;12867000.0
2012-06-30;20257;2.01.03;13961000.0;17509000.0
2012-06-30;20257;2.01.04;1307947000.0;2310695000.0
2012-06-30;20257;2.01.05;292974000.0;286624000.0
2012-06-30;20257;2.02.01;2015405000.0;1993490000.0
2012-06-30;20257;2.02.02;33553000.0;46250000.0
2012-06-30;20257;2.02.03;242101000.0;226242000.0
2012-06-30;20257;2.02.04;949000.0;1502000.0
2012-06-30;20257;2.03.01;1312536000.0;1312536000.0
2012-06-30;20257;2.03.02;594507000.0;594507000.0
2012-06-30;20257;2.03.04;345429000.0;131162000.0
2012-06-30;20257;3.01;150608000.0;216852000.0
2012-06-30;20257;3.02;-12760000.0;-21065000.0
2012-06-30;20257;3.03;137848000.0;195787000.0
2012-06-30;20257;3.04;-8158000.0;-19265000.0
2012-06-30;20257;3.05;129690000.0;176522000.0
2012-06-30;20257;3.06;-38917000.0;-95716000.0
2012-06-30;20257;3.07;90773000.0;80806000.0
2012-06-30;20257;3.08;-18027000.0;-6860000.0
2012-06-30;20257;3.09;72746000.0;73946000.0
2012-06-30;20257;3.11;72746000.0;73946000.0
2012-06-30;20257;5.01;2508354000.0;2252472000.0
2012-06-30;20257;5.03;2508354000.0;2252472000.0
2012-06-30;20257;5.07;2116920000.0;2207973000.0
2012-06-30;20257;6.01;357190000.0;459605000.0
2012-06-30;20257;6.02;60419000.0;-4239000.0
2012-06-30;20257;6.03;-476175000.0;578914000.0
2012-06-30;20257;6.05;-58566000.0;1034280000.0
2012-06-30;20257;7.01;330056000.0;478503000.0
2012-06-30;20257;7.02;-18151000.0;-46007000.0
2012-06-30;20257;7.03;311905000.0;432496000.0
2012-06-30;20257;7.04.01;-746000.0;-801000.0
2012-06-30;20257;7.05;311159000.0;431695000.0
2012-06-30;20257;7.06;30930000.0;86158000.0
2012-06-30;20257;7.07;342089000.0;517853000.0
2012-06-30;20257;7.08;342089000.0;517853000.0
2012-09-30;2453;1.01;8531649000.0;9970105000.0
2012-09-30;2453;1.01.01;2862490000.0;2538780000.0
2012-09-30;2453;1.01.02;358987000.0;2141364000.0
2012-09-30;2453;1.01.03;2998686000.0;3085935000.0
2012-09-30;2453;1.01.04;54430000.0;80174000.0
2012-09-30;2453;1.02.01;14726385000.0;15733001000.0
2012-09-30;2453;1.02.02;176740000.0;151816000.0
2012-09-30;2453;1.02.03;8661791000.0;8752301000.0
2012-09-30;2453;1.02.04;5261181000.0;4615434000.0
2012-09-30;2453;2.01;12169346000.0;11021911000.0
2012-09-30;2453;2.01.02;1189848000.0;1439751000.0
2012-09-30;2453;2.01.03;645937000.0;736063000.0
2012-09-30;2453;2.01.04;7821060000.0;6928670000.0
2012-09-30;2453;2.01.05;2215467000.0;1653975000.0
2012-09-30;2453;2.02.01;7958009000.0;9684275000.0
2012-09-30;2453;2.02.02;3701980000.0;3832326000.0
2012-09-30;2453;2.02.03;1234024000.0;305842000.0
2012-09-30;2453;2.02.04;549439000.0;543400000.0
2012-09-30;2453;2.03.01;3412073000.0;4265091000.0
2012-09-30;2453;2.03.02;3953850000.0;3953850000.0
2012-09-30;2453;2.03.04;3292871000.0;2353537000.0
2012-09-30;2453;3.01;4035749000.0;4810133000.0
2012-09-30;2453;3.02;-2495368000.0;-3168768000.0
2012-09-30;2453;3.03;1540381000.0;1641365000.0
2012-09-30;2453;3.04;-299841000.0;-118802000.0
2012-09-30;2453;3.05;1240540000.0;1522563000.0
2012-09-30;2453;3.06;-271886000.0;-239287000.0
2012-09-30;2453;3.07;968654000.0;1283276000.0
2012-09-30;2453;3.08;-311407000.0;-346145000.0
2012-09-30;2453;3.09;657247000.0;937131000.0
2012-09-30;2453;3.11;657247000.0;937131000.0
2012-09-30;2453;5.01;11476133000.0;11744948000.0
2012-09-30;2453;5.03;11476133000.0;11744948000.0
2012-09-30;2453;5.07;13119246000.0;13834903000.0
